HUD/Ally	Sojusznik
Dialog/HopalongRescuePlanet_2	Co… co on robi? Pracuje dla nich?
Dialog/HopalongRescuePlanet_3	Wygląda na to, że po prostu… siedzi w stajni.
Dialog/HopalongRescue_1	Potwierdzam: <color=#AB82FD>Hopalong</color> jest na tej planecie.
Dialog/HopalongRespArg_1	I tak nie jesteś w moim typie. Za mało nóg. 
Dialog/HopalongRespArg_2	Och, przepraszam. Mówiłeś coś? 
Dialog/HopalongRestart_1	Potrzebujemy do tego całej bandy, czyli <color=#AB82FD>Hopalonga</color> też.
Dialog/HopalongSector_1	Czy to nie w sektorze Czyściec stary <color=#AB82FD>Hopalong</color> poszedł wąchać kwiatki od spodu?
Dialog/HopalongSector_3	Ano, i jak wykopiemy naszego łuskowatego kumpla, mam zamiar usiąść z nim i porozmawiać o tych <color=#AB82FD>naładowanych asach</color>, które należą do nas, a które miał pod opieką.
Dialog/HopalongSector_4	A tymczasem wypatrujcie w tym sektorze <color=#AB82FD>fasoli</color>. Umiem ją świetnie usmażyć – <color=#AB82FD>załagodzi każdą kłótnię</color>, jaką możemy mieć. 
Dialog/HopalongSector_4a	Nikt nie da rady się żreć z gębą pełną gorącej, rozpływającej się fasoli.
Dialog/HopalongSector_5	Nie mówię tu o nikim konkretnym, żeby nie było. 
Dialog/HopalongStorm_1	Nie chcę was tam na Drifterze straszyć, ale może nigdy nie słyszeliście o gwiezdnych <color=#AB82FD>burzach</color>, albo… ja je zwę Lelkami, więc lepiej, że powiem wam, zanim wyruszymy.
Dialog/HopalongStorm_2	Tu w okolicy Chaste próbował wydobywać słońca czy inną cholerę, i coś to zrobiło z polami magnetycznymi tych skał. Zwierzakom na pewno jeży się sierść. Trzeba je będzie pogłaskać.
Dialog/HopalongStorm_3	Ale… niech mnie, te burze potrafią wbić rozgrzaną <color=#AB82FD>włócznię pioruna</color> prosto w rzyć. Tak tylko myślałem, że będziecie chcieli wiedzieć.
Dialog/Intro_1	Teraz <color=#AB82FD>możemy się wynieść</color> z tej zasranej dziury.
Dialog/Intro_2	Hola, hola, Robaczyco! <color=#AB82FD>Pan Chaste</color> nie lubi, jak ktoś grzebie przy jego <color=#AB82FD>blokadach skoku</color>. 
Dialog/Intro_3	To może podnieś te swoje cztery chude łaskotki w górę. Możesz się na-cie-szyć naszymi rustykalnymi wygodami, <color=#AB82FD>aż książę się tu pofatyguje</color>. 
Dialog/Intro_4	Nie mogę się doczekać, żeby go poznać. Jak długo mu zejdzie?
Dialog/Intro_5	<color=#AB82FD>Będzie tu jutro.</color> Coś mi się widzi, że strasznie mu spieszno położyć do piachu ostatnich z was, <color=#AB82FD>Dzikich Bękartów</color>. 
Dialog/Intro_6	W takim razie oddanie pistoletów wygląda na kiepski pomysł.
Dialog/Intro_7	Ale kule możesz dostać. 
Dialog/Intro_Planet	Garrett IV\n\nNic niewarta kula błota w sektorze Klęska.
Dialog/Intro_Time	Południe
Dialog/Jailbreak_1	Wstrzymaj konie, <color=#AB82FD>panno Roso</color>. Właśnie rozkładam sobie pasjansa. 
Dialog/Jailbreak_2	Zbieraj karty, <color=#AB82FD>McNeil</color> będzie tu jutro. 
Dialog/Jailbreak_3	Niedobrze. Jaki jest plan? 
Dialog/Jailbreak_4	Moglibyśmy wykopać parę dołów i po prostu się w nich położyć. Zaoszczędzimy <color=#AB82FD>Karzycielom</color> trochę czasu. 
Dialog/Jailbreak_5	Załatwmy sobie porządną trumnę, taką z uchwytami. <color=#AB82FD>Potrzebny nam na to cramm</color>. 
Dialog/JudgeGamblerArg_1	Te ostre słowa, co padły tam na dole... Wybaczę ci twoje, jeśli ty wybaczysz mi moje.  
Dialog/JudgeGamblerArg_2	Gówno wybaczę.
Dialog/JudgeHelixPlanet_1	A co wy, cyrkowe dziwadła, niby teraz kombinujecie? Mało, że kradliście tatkowe rzeczy, to jeszcze wykopujecie martwe Bękarty?
Dialog/JudgeInitArg_1	Myślałem, że na dziś skończyłem strzelać. Ale proszę bardzo. Mielże dalej tym cholernym ozorem. 
Dialog/JudgeInitArg_2	Nieudolność nie jest, ściśle rzecz biorąc, przestępstwem, ale może powinna być. 
Dialog/JudgeIntro_1	Lepiej wyciągaj tę swoją śliczną pukawkę, <color=#AB82FD>Casino</color>. Załatwimy to we dwóch, tu i teraz. 
Dialog/JudgeIntro_2	Dobrze cię widzieć, <color=#AB82FD>Sędzio</color>. Wiem, że jesteś trochę wstrząśnięty i w ogóle, ale… 
Dialog/JudgeIntro_3	Nic mną, do cholery, nie wstrząsnęło. Wiem, gdzie byłem. I wiem, kto mi to zrobił. 
Dialog/JudgeIntro_4	Zostałem na lodzie, bo jakiś bezkręgowy szuler nie umiał się oprzeć jeszcze jednemu lewemu rozdaniu, kiedy <color=#AB82FD>Barrabas dyszał nam w karki</color>. 
Dialog/JudgeIntro_5	<color=#AB82FD>Chaste i jego krewni</color> uwzięli się na nas wszystkich, Sędzio, i to nie bez powodu. Po prostu ciebie dopadli pierwszego, tylko tyle. Ale mam dobre wieści – Drifter zabiera nas teraz do <color=#AB82FD>Ostoi</color>.
Dialog/JudgeIntro_6	Do Ostoi, co? Doprawdy?
Dialog/JudgeIntro_7	Nic o tym nie wiem. Po prostu wolę życie od śmierci. Nie wiem jeszcze, co o tobie myśleć, Roso. 
Dialog/JudgeIntro_8	Ale <color=#AB82FD>nie będę jeździł z tym blaszanym sukinsynem<color=#AB82FD>. 
Dialog/JudgeJailPals_1	Miałem w tej celi na dole sporo wrogów. „Miałem”.
Dialog/JudgeMamaPanicArg_1	Musiałem położyć na tej planecie sporo ludzi, ale nigdy nie będę przepraszał za cywilizowanie tutejszych światów, Roso.
Dialog/JudgeMamaPanicArg_2	Wcześniej cywilizowałeś je w służbie naszego wroga, Jedediaha Chaste'a. W tym właśnie problem. 
Dialog/JudgeMistMinerArg_1	Widziałem, jak łypałeś na mnie tam na dole przez lunetę. Masz ze mną jakiś cholerny problem, blaszany sukinsynu?
Dialog/JudgeMistMinerArg_2	Po prostu wiem, że coś zrobiłeś, i tyle. Masz na gębie to „coś zrobiłem”. 
Dialog/JudgePals_1	Nawet najlepszym zdarza się rozproszyć. Naprawiliście to i macie moją wdzięczność.
Dialog/JudgePlanet_1	<color=#AB82FD>Blokady skoku</color>. Nienawidzę ich. 
Dialog/JudgePlanet_2	Proszę na to spojrzeć tak, panno Roso. Skoro musimy schodzić na dół, możemy za każdym razem obrabować Chaste'a do cna. To jedna z wielkich przyjemności życia. 
Dialog/JudgePreachArg_1	Może i jesteś sędzią, ale widziałam, jak egzekucje sprawiają ci trochę za dużo radości jak na mój gust. To nie po biblijnemu. 
Dialog/JudgePreachArg_2	Cóż, dopóki Jorge Crux nie zejdzie tu i sam nie zastrzeli tych sukinsynów, muszę mu pomagać. Masz z tym jakiś problem? 
Dialog/JudgeRejoin_1	Spóźniliście się, sukinsyny. Ale puszczę to płazem.
Dialog/JudgeRejoin_2	Sędzio, wygląda na to, że dzień będziemy ratować we dwóch, skoro plączą się nam pod nogami akwarium i dzieciak Cramm.
Dialog/JudgeRejoin_3	Dzięki za pokrzepiającą mowę, Sierżancie. Przypomnij mi, czego właściwie jesteś sierżantem?
Dialog/JudgeRejoin_4	No, za moich źrebięcych czasów byłem…
Dialog/JudgeRejoin_5	Czyli niczego.
Dialog/JudgeRespArg_1	Czyli nie muszę znowu ratować ci skóry? Bardzo mi to pasuje. 
Dialog/JudgeRespArg_2	Nie licz, że przybiegnę, jak następnym razem wpadniesz w tarapaty. 
Dialog/JudgeSector_1	Sektor Lament? Czy to nie tu <color=#AB82FD>Barrabas</color> usmażył <color=#AB82FD>Sędziego</color> tymi swoimi laserowymi oczami? Nie godzi się tak razić kogoś oczami.
Dialog/JudgeSector_2	Zaczynam mieć wrażenie, że Drifter nie spocznie, dopóki <color=#AB82FD>nie odzyskamy całej bandy</color>. 
Dialog/JudgeSector_3	Jak nie będziemy uważać, będzie jeszcze więcej wskrzeszania. Przydadzą się <color=#AB82FD>toniki</color>, żeby się podreperować. 
Dialog/JudgeSector_4	Wypatrujcie planet, na których mogą być na dole. 
Dialog/KaboomHelixPlanet_1	Rozumiem, że odrzuciliście moją hojną ofertę. W takim razie uciekajcie dalej, skoro chcecie. 
Dialog/KaboomHelixPlanet_1a	Nawet jeśli ta wasza tak zwana „Ostoja” istnieje, macie tyle samo szans, żeby tam dotrzeć, co wszystkie inne blaszaki i ksenosi, którzy próbowali i przegrali. 
Dialog/KaboomInitArg_1	Niech to szlag, ale ty to potrafisz człowiekowi zaleźć za skórę. 
Dialog/KaboomInitArg_2	Nawet jako gazowy gość mam swoje granice. A ty je tam na dole przekroczyłeś. 
Dialog/KaboomIntro_1	Dzięki. Długo tam byłem strasznie zagubiony. Zacząłem myśleć, jak zrobić, żeby dynamit wybuchał mocniej, i wpadłem na parę świetnych pomysłów. Zaraz wam opowiem.
Dialog/KaboomIntro_2	Wtrącę się: zastanówcie się nad kwestią przywództwa. Ta szczebiocząca pajęczyca czy wasz pokorny sługa.
Dialog/KaboomIntro_3	Które z was lubi wybuchy?!?
Dialog/KaboomIntro_4	Ja.
Dialog/KaboomIntro_5	Reakcje egzotermiczne, jasne, czemu nie. Z daleka.
Dialog/KaboomIntro_6	Ja się w to nie mieszam.
Dialog/KaboomNotRescued_1	Nie możemy zostawić pana Buma!
Dialog/KaboomNotRescued_2	Odeślą go do Chaste'a na pogawędkę, co? Tylko herbatki nie będzie. Mam przeczucie, że Drifter znajdzie, dokąd go zabiorą.
Dialog/KaboomOut_1	Wypadam z gry – przynajmniej dopóki ktoś nie znajdzie mi toniku.
Dialog/KaboomOut_2	Niech to szlag, bez ciebie planeta posiadłości będzie o tyle trudniejsza.
Dialog/KaboomPals_1	Nie podoba mi się to cholerne rozpraszanie. Dobrze, żeście mnie tam znaleźli.
Dialog/KaboomRejoin_1	Zaoferowałem swoje usługi. Okazuje się, że jak ktoś jest z oparów, a nie z mięsa jak normalni, to tu się nie liczy jako żywy.
Dialog/KaboomRejoin_2	A czego się spodziewałeś, stary? Przystawek? Deski wędlin?
Dialog/KaboomRejoin_3	Nie odmówiłbym, nie.
Dialog/KaboomRescuePlanet_1	To tu! Tu <color=#AB82FD>trzymają pana Buma pod kluczem</color>!
Dialog/KaboomRescuePlanet_2	Naprawdę chcemy z powrotem tego starego pierdziela?
Dialog/KaboomRescuePlanet_3	Musimy go wyciągnąć. Pewnie cierpi już na niedobór fasoli. Człowiek nie przeżyje bez witaminy F, nawet taki, co przez swoje przygody zrobił się całkiem jak duch.
Dialog/KaboomRescueRepeat_1	Masz rację, panie Spike! <color=#AB82FD>Pan Bum siedzi tu, w tym więzieniu!</color>
Dialog/KaboomRescue_1	Widzę <color=#AB82FD>pana Buma w tamtym kiciu!</color>
Dialog/KaboomRespArg_1	Nie trzeba tak do człowieka gadać. 
Dialog/KaboomRespArg_2	Nerwów to ja nie mam, jak normalni, ale zabolało. 
Dialog/KaboomRestart_1	Wygląda na to, że Drifter postanowił. Musimy <color=#AB82FD>uratować starego Bum-Buma</color>, zanim ruszymy dalej.
Dialog/KaboomSector_1	Mam nadzieję, że <color=#AB82FD>Kaboom jest ostatni</color>, którego Drifter próbuje znaleźć, i że wreszcie zechce zabrać nas do <color=#AB82FD>Ostoi</color>. Nie marudźmy tu.
Dialog/KaboomSector_2	Czemu Drifter miałby na nim poprzestać? Wygląda mi na to, że <color=#AB82FD>zbieramy całą bandę</color>.
Dialog/KaboomSector_3	Po co? Do czegoś jesteśmy potrzebni?
Dialog/KaboomSector_4	Musimy uciec od Chaste'a, to pewne.
Dialog/KaboomSector_5	Cóż, „Drifter spada jak deszcz błogosławiony na niski, jałowy step spragniony”. Jeśli jest więcej takich, co go potrzebują, no to tam lecimy.
Dialog/MamaPanicJailPals_1	To podłe więzienie nie było miejscem dla mnie. Dziękuję.
Dialog/MamaPanicPals_1	Gdy jestem rozproszona, nie mogę przewodzić bandzie. Dziękuję za odnalezienie mnie tam na dole.
Dialog/McNeil1_1	Oho! Ho, ho, ho, wy sukinsyny! Zamówiłem sobie nową spluwę, żeby was wszystkich z niej powystrzelać! Ale jeszcze nie przyszła. Więc jakbyście się tu na dole nie spieszyli, to byłbym wdzięczny.
Dialog/McNeil2_1	Trochę mnie zmęczyło to ganianie za wami. Zbombardowałbym was, tak orbitalnie, ale zostawiłem tu na dole kapelusz, który bardzo lubię.  
Dialog/McNeil3_1	Nowa spluwa przyszła, ale teraz czekam na cholerne kule!
Dialog/McNeil3_1a	Ma takie specjalne kule, co chybiają, a potem wracają i żądlą człowieka w dupę jak pszczoła. O rany, to ci dopiero rozerwie dupę! 
Dialog/McNeil3_2	No wiem, że może niektórzy z was nie mają porządnej dupy, bo jesteście obcymi sukinsynami.  
Dialog/McNeil3_2a	Takim to na pewno zrobi nową. Więc w pewnym sensie wyświadczam wam przysługę. 
Dialog/McNeil4_1	Tatko przysłał mi wiadomość, napisał: „Synu, tym razem położysz tych Dzikich Bękartów do piachu”. No, ja ją wysłałem. To ja ją wysłałem. Ale i tak to zrobię!
Dialog/McNeil5_1	Nawet nie lubię tego świata. Ugryzł mnie tu kojot, skoczył na mnie i zjadł mi kawałek głowy!
Dialog/McNeil5_1a	Ale z tego kawałka nie korzystałem. Kapelusz już dobrze nie leży, ale tatko mówi, że „kapelusze są drogie”.
Dialog/McNeilArrive_1	Stać, dziwadła! Tym razem mi nie uciekniecie.
Dialog/McNeilKilled_1	Nieźle mnie tam urządziliście, sukinsyny, ale tatko ma na usługach najlepszego konowała w galaktyce i ten zszył mnie tak, że jestem jeszcze ładniejszy niż przedtem. 
Dialog/McNeilPursue_1	Pewnie myśleliście, że już mnie nie zobaczycie. A tatko dał mi jeden ze swoich starych statków, bo tak dobrze się spisałem! No, nie powiedział tego, ale tak słyszałem. 
Dialog/McNeilPursue_2	Cholerny sukinsyn. 
Dialog/McNeilReset_1	Jiha! Zabraliśmy tę spleśniałą helisę i przenieśliśmy ją gdzie indziej. Teraz jej nigdy nie znajdziecie!
Dialog/McNeilReset_2	I to niby jest książę?
Dialog/Minerality_1	Jedliście? Bo jak nie, to sam przyznam, że przy ognisku daję sobie radę. Mam tu swoją nagradzaną fasolkę z grilla...
Dialog/Minerality_2	Dużo tu robotów. Więcej fasoli dla nas, miękkich, co? 
Dialog/Minerality_3	CO?
Dialog/Minerality_4	Powiedziałam coś nie tak?
Dialog/Minerality_5	Myślisz, że jak jesteśmy robotami, to nie jemy fasoli?
Dialog/Minerality_6	No... tak właśnie myślałam?
Dialog/Minerality_7	Smakujesz fasolę tym samym wijącym się czymś, czym gadasz! Ty nawet nie czujesz smaku tej cholernej fasoli.  
Dialog/Minerality_7a	My mamy cały aktywny kompleks percepcji fasoli. Wtórne i trzeciorzędowe strączkatory… to jak jedzenie cholernej tęczy. 
Dialog/Minerality_8	Sędzia i ja rzadko się w czymś zgadzamy, ale…
Dialog/Minerality_9	Ma rację, Kaznodziejo. Wyczuwa się subtelną mineralność.
Dialog/MistMinerGamblerArg_1	Doc, musisz uruchomić komputer celowniczy. Nie trafisz nawet w cholerną stodołę!
Dialog/MistMinerGamblerArg_2	Co ważniejsze, przy tobie muszę wyłączać komputer węchowy, przyjacielu.
Dialog/MistMinerJailPals_1	Próbowałem się przekopać z tego pudła. Okazuje się, że dali metalową podłogę. 
Dialog/MistMinerMamaPanicArg_1	Znosiłem to przez chwilę tam na dole, ale nie machaj już na mnie tymi swoimi łapkami, Roso! NIE MACHAJ NIMI WIĘCEJ.  
Dialog/MistMinerMamaPanicArg_2	Masz na myśli tak?
Dialog/NavPickup_1	Mamy szczęście! Tym awaryjnym <color=#AB82FD>nadajnikiem</color> możemy <color=#AB82FD>bezpiecznie opuścić planetę</color>, nawet jeśli nie dotrzemy do schodów!
Dialog/NeededSelected_1	Na pewno? Ci potrzebni banici to nasza jedyna nadzieja na planecie posiadłości. 
Dialog/Open_1	Nie zgubiliśmy go.
Dialog/Open_2	To nigdy nie było w kartach, panno Roso. Lepiej przenieś nas na dół, niech <color=#AB82FD>wysadzimy blokadę skoku</color>, zanim on tu dotrze. 
Dialog/PatrolIntro_1	Aż się roi od <color=#AB82FD>patroli!</color> Chaste rozesłał chłopaków na wszystkie strony.
Dialog/PostCredits_1	Masz naszą wdzięczność, Sierżancie. Kiedy dla mnie i Casino wszystko wyglądało najczarniej, byłeś głosem rozsądku. Wolę nie myśleć, co mogło się stać.
Dialog/PostCredits_2	Oj, na odwrót to rozumiesz, Szóstaczko.
Dialog/PostCredits_3	Resztę swojego nędznego życia spędzicie na ucieczce przed Chaste'em tu, na zadupiu wszechświata. 
Dialog/PostCredits_3a	I będziecie harować jak woły, żeby udowodnić, że nie jesteście parującymi kupami gówna.
Dialog/PostCredits_4	Tylko pilnowałem, żebyś zapłaciła w całości. I dalej będę pilnował. Tak jest.
Dialog/PostCredits_5	Tak czy siak, kolego. Tak czy siak.
Dialog/PostCredits_6	Wsadź sobie tego „kolegę” w dupę, i to bokiem. I wyczyść spluwy.
Dialog/PostCredits_7	Jeszcze nie skończyliśmy.
Dialog/PostReset_1	Czuję się jak milion cramm. 
Dialog/PostReset_2	<color=#AB82FD>Warp zabrał nam cały cramm</color>. I jeszcze więcej!
Dialog/PostReset_3	 Ale <color=#AB82FD>asów nam nie zabierze</color>. Moim zdaniem to i tak tania usługa.
Dialog/PostRestart_1	Jeszcze jedno rozdanie? Wchodzę. 
Dialog/PreachGamblerArg_1	Doc, zawsze strasznie ci spieszno zaglądać do naszej skrytki z cramm. Potrzebny nam, a jakże, ale to sprawy doczesne, a ty musisz celować wyżej. 
Dialog/PreachGamblerArg_2	Ty masz swoje doczesne sprawy, a ja swoje. Nie prawię ci kazań o twoich. 
Dialog/PreachHelixPlanet_1	Muszę wam podziękować, żeście wykopali tego zardzewiałego starego blaszaka, co się nazywa sędzią. Świetnie się bawiłem, zabijając go za pierwszym razem, a teraz mogę to zrobić jeszcze raz. 
Dialog/PreachInitArg_1	Jorge Crux każe nam znosić głupców z łagodnością. Ale ciebie to on nigdy nie spotkał. 
Dialog/PreachInitArg_2	Tam na dole miałam dość. Nie sądzę, żebyś się nadawał do tego życia. I nie będę czekać, aż przez ciebie nas pozabijają. 
Dialog/PreachIntro_1	Miałam taki piękny sen, kochani. Siedziałam po prawicy Najwyższego, Jorge Cruxa. Jego i tego śmiesznego krzyża, z którym się ciągle wszędzie włóczy.
Dialog/PreachIntro_2	Jego krzyż, nawiasem mówiąc, przesyła pozdrowienia. Wam wszystkim, grzesznikom i tym, którym czegoś zabrakło. Czyli wszystkim, do cholery.
Dialog/PreachIntro_3	Po tym, jak na mnie patrzycie, zaczynam myśleć, że to może nie był sen. Ale wróciłam. Mam nadzieję, że nikt z was nie czarował ani nie uprawiał żadnej nek-romancji.
Dialog/PreachIntro_4	Zwykłe, zwyczajne zmartwychwstanie, proszę pani, pan Crux chyba sam coś o tym wie. 
Dialog/PreachIntro_4a	Podziękuj Drifterowi. I mnie, jeśli chcesz. Ale nie dziękuj Casino, bo to dwulicowy wór gówna.
Dialog/PreachIntro_5	Ha! Znasz mnie i Sędziego. Zawsze tylko żarty i śmichy.
Dialog/PreachIntro_6	Myślałam, że już złożyłam swoje trudy... I… nie żebym nie cieszyła się, że was widzę, ale to już nie jest mój dom.
Dialog/PreachIntro_7	No… do nieba cię nie zabierzemy, panienko, ale w pół drogi już tak. Ta łajba leci do <color=#AB82FD>Ostoi</color>.
Dialog/PreachIntro_8	Do <color=#AB82FD>Ostoi</color>? Amen!
Dialog/PreachIntro_9	A tak przy okazji, jedzenia to tam mają w bród, ale czego nie mają, to <color=#AB82FD>twojej fasoli!</color>
Dialog/PreachJailPals_1	Panie, dziękujemy Ci, żeś wyzwolił mnie z więzienia. I za tego tu Twojego sługę też.
Dialog/PreachMamaPanicArg_1	Powtórz to, Roso. Powtórz, co mi powiedziałaś na dole.  
Dialog/PreachMamaPanicArg_2	Zasugerowałam jedynie, że twoje „Pismo Święte” to rodzaj wirusa umysłowego. Czy to... niezrozumiałe?
Dialog/PreachMistMinerArg_1	Czy ktoś jeszcze uważa, że na tej ostatniej planecie trochę śmierdziało skunksem?
Dialog/PreachMistMinerArg_2	Taki już jestem, do cholery!  
Dialog/PreachOut_1	Bóg widzi, że się staram, ale nie mam siły iść dalej.
Dialog/PreachOut_2	Kaznodziejo... Esther, potrzebujemy cię!
Dialog/PreachPals_1	Pan prowadził twoje kroki ku mnie. Za to dziękujemy.
Dialog/PreachRespArg_1	Panie Boże, to ten, o którym Ci wcześniej mówiłam. Ten tu sukinsyn. 
Dialog/PreachRespArg_2	Panie Crux, daj mi, do cholery, SIŁY. 
Dialog/PreachSector_1	W tym bezprawnym sektorze odeszła młoda panna Esther. Jest tu mnóstwo ludzi, których trzeba by zastrzelić.
Dialog/PreachSector_2	Podobno dopadł ją jeżozwierz. A mówiłem jej. Mówię: „<color=#AB82FD>Kaznodziejo</color>, trzeba z nimi rozmawiać tak, a nie inaczej”.
Dialog/PreachSector_3	To bystra dziewczyna, żaden cholerny jeżozwierz by jej nie położył.
